track_name,artist,release_date,popularity,track_id,preview_url,album,danceability,energy,valence,tempo,liveness,loudness,speechiness,acousticness,instrumentalness
Name,The Goo Goo Dolls,,67,1G8jae4jD8mwkXdodqHsBM,https://p.scdn.co/mp3-preview/e201cbffa54169a2ae60e52c3a097bc83169e5ff?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,A Boy Named Goo,0.464,0.701,0.407,73.97,0.0766,-5.943,0.0341,0.0691,0.00182
Antologia,Shakira,1995-10-06,79,0KAqMRUSZwzG3dZLdDA4eH,https://p.scdn.co/mp3-preview/e9f218aacf324d3b5626bae3b1e2d8e5cbf2c7b7?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Pies Descalzos,0.839,0.403,0.575,97.967,0.0786,-11.059,0.0308,0.5,1.81e-06
Ironic - 2015 Remaster,Alanis Morissette,,72,1d6KS9GH06JAd19uiBy9IE,https://p.scdn.co/mp3-preview/8d47a6af92173911fd7a688d66a3b5ad6c79a25d?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Jagged Little Pill - 2015 Remaster,0.408,0.582,0.365,114.926,0.159,-8.305,0.0508,0.218,0.0
Hand in My Pocket - 2015 Remaster,Alanis Morissette,,67,2lE7oRoKssULAtbWViL385,https://p.scdn.co/mp3-preview/f251a6512dfff8c96992f631420518fcb5a72185?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Jagged Little Pill - 2015 Remaster,0.657,0.655,0.668,92.259,0.102,-8.3,0.0248,0.135,0.00303
Peaches,The Presidents Of The United States Of America,1995-01-01,62,5huLMzIzFEdVcvEzt2hfk1,https://p.scdn.co/mp3-preview/6c67c3506bdab4bb150e9869886e1fdf004ab553?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,0.414,0.853,0.624,93.77,0.049,-4.198,0.0453,0.0181,0.0012
In the Meantime,Spacehog,,64,02lTDOxHeXTHsdwXoz6lpC,https://p.scdn.co/mp3-preview/20b0baa4734aebedaf91ce392e0f1f1dd92c106b?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Resident Alien,0.269,0.895,0.16,168.479,0.153,-6.382,0.118,0.083,0.00266
Good,Better Than Ezra,1995-02-28,60,0ttHpMs250dpFkCYAnuhnE,https://p.scdn.co/mp3-preview/e31f26d367d3cfad0344ada17b0e0e20ad99f5c7?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Deluxe,0.615,0.657,0.792,109.95,0.132,-6.873,0.029,0.000372,0.0204
You Oughta Know - 2015 Remaster,Alanis Morissette,,66,3jS7bB0oXVOwGFZn3aE5NV,https://p.scdn.co/mp3-preview/4a21163f1a57a63106d1cfaa3802cfeda8c85cc4?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Jagged Little Pill - 2015 Remaster,0.665,0.834,0.411,105.292,0.452,-7.737,0.0576,0.21,0.0
One Sweet Day,Mariah Carey,1995-10-03,67,7ySbfLwdCwl1EM0zNCJZ38,https://p.scdn.co/mp3-preview/2395b7ab0950e061e0ddceca045de813c2d5e856?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,Daydream,0.568,0.495,0.303,128.234,0.0839,-8.964,0.0299,0.353,0.0
Down,311,1995-07-11,57,0HDaKOlVAfUWXdFR2RhBtN,https://p.scdn.co/mp3-preview/3a297f4f20f1a59de9a8c10972c25777994af9a6?cid=8c1fc0bc821a4d6bb1dc68c2a2d0af9f,311,0.441,0.922,0.565,175.411,0.381,-6.644,0.0655,0.000179,1.97e-06
